"NO","PACKAGING TYPE","WORK ORDER","PO NO.","ITEM NO.","BRAND","COMPANY","CUSTOMER GROUP","BATERY TYPE","CELL GRADE","ORDER QTY","CR DATE","PRICE","STANDARD PRICE","TERM","CURRENCY","SALES AMOUNT","QTY WH","QTY IN TRANSIT","SALES MOUNT","JAN QTY","JAN AMT","FEB QTY","FEB AMT","MAR QTY","MAR AMT","APR QTY","APR AMT","MAY QTY","MAY AMT","JUN QTY","JUN AMT","JUL QTY","JUL AMT","AUG QTY","AUG AMT","SEP QTY","SEP AMT","OCT QTY","OCT AMT","NOV AMT","NOV AMT","DES AMT","DES AMT"
"59","BLISTER","EI17-182-LR03C1-3","'EI17-182","11540","SONY BLUE LR03 2B ULA","FDK CORPORATION","FDK E - SONY SEND","LR03","C1","43,008","06-DEC-17","0.0869","0.0837","FOB","USD","3,737","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70,656","5,914"
"60","BLISTER","EI17-183-LR03C1-6","'EI17-183","11050","SONY PLUS D LR03 2B WW","FDK CORPORATION","FDK E - SONY SEND","LR03","C1","7,680","20-DEC-17","0.1233","0.085","FOB","USD","947","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15,360","1,306"
"61","BLISTER","EI17-183-LR03C1-7","'EI17-183","11540","SONY BLUE LR03 2B ULA","FDK CORPORATION","FDK E - SONY SEND","LR03","C1","1,075,200","10-JAN-18","0.0869","0.0837","FOB","USD","93,435","0","0","12","743,424","62,225","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","BLISTER","EI17-183-LR03C1-8","'EI17-183","11390","SONY BLUE LR03 4B WW","FDK CORPORATION","FDK E - SONY SEND","LR03","C1","76,800","20-DEC-17","0.0869","0.0762","FOB","USD","6,674","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","153,600","11,704"
"63","BLISTER","EI17-183-LR6C1-1","'EI17-183","10910","SONY PLUS D LR6 2B WW","FDK CORPORATION","FDK E - SONY SEND","LR6","C1","38,400","20-DEC-17","0.1376","0.1165","FOB","USD","5,284","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76,800","8,947"
"64","BLISTER","EI17-183-LR6C1-2","'EI17-183","10920","SONY PLUS D LR6 4B WW","FDK CORPORATION","FDK E - SONY SEND","LR6","C1","6,144","20-DEC-17","0.1181","0.1083","FOB","USD","726","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12,288","1,331"
"65","BLISTER","EI17-183-LR6C1-3","'EI17-183","10930","SONY PLUS D LR6 4B+2 WW","FDK CORPORATION","FDK E - SONY SEND","LR6","C1","10,368","20-DEC-17","0.1177","0.11","FOB","USD","1,220","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20,736","2,281"
"66","BLISTER","EI17-183-LR6C1-4","'EI17-183","11450","SONY BLUE LR6 2B ULA","FDK CORPORATION","FDK E - SONY SEND","LR6","C1","1,228,800","20-DEC-17","0.1102","0.1102","FOB","USD","135,414","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10,506,240","1,157,788"
"67","BLISTER","EI17-183-LR6C1-5","'EI17-183","11280","SONY BLUE LR6 4B WW","FDK CORPORATION","FDK E - SONY SEND","LR6","C1","46,080","20-DEC-17","0.1081","0.1075","FOB","USD","4,981","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92,160","9,907"
"68","BLISTER","EI17-185-LR03C1-4","'EI17-185","11050","SONY PLUS D LR03 2B WW","FDK CORPORATION","FDK E - SONY SEND","LR03","C1","15,360","14-DEC-17","0.1233","0.085","FOB","USD","1,894","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30,720","2,611"
